Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Total_Spent,Total_Purchases,Online_Ratio,Store_Ratio,Customer_Tenure_Days,Total_Accepted_Campaigns,Campaign_Response_Flag,Cluster_KMeans,Conversion_Level
Graduation,Together,31089.0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,44,1,79,10,0.2727272727272727,0.36363636363636365,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,30081.0,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,64,1,42,5,0.16666666666666666,0.5,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,62807.0,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,65,1,819,23,0.3333333333333333,0.5,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,72906.0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,70,0,1151,17,0.3888888888888889,0.5,4413.766375545852,0,0,1,Alta Conversão
PhD,Married,61467.0,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,77,2,594,20,0.3333333333333333,0.47619047619047616,4706.0,0,0,1,Alta Conversão
Master,Together,49618.0,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,59,2,129,11,0.3333333333333333,0.25,4413.766375545852,0,0,0,Baixa Conversão
Master,Single,21888.0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,39,1,213,12,0.46153846153846156,0.15384615384615385,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Widow,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,1,67,7,0.25,0.375,3925.0,0,0,0,Baixa Conversão
Graduation,Divorced,26150.0,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,69,3,28,5,0.16666666666666666,0.5,4289.0,0,0,0,Baixa Conversão
Basic,Married,30801.0,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,50,1,45,6,0.14285714285714285,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,81168.0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,60,0,1193,18,0.5263157894736842,0.3684210526315789,4045.0,1,1,2,Média Conversão
Master,Single,26877.0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,56,0,268,12,0.3076923076923077,0.46153846153846156,4413.766375545852,0,0,0,Baixa Conversão
Master,Widow,45006.0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,81,0,266,12,0.3076923076923077,0.5384615384615384,4413.766375545852,0,0,0,Baixa Conversão
Basic,Married,18978.0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,52,1,37,5,0.16666666666666666,0.5,4645.0,0,0,0,Baixa Conversão
Graduation,Married,22574.0,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,58,3,37,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
PhD,Single,48240.0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,56,0,882,25,0.34615384615384615,0.5,4707.0,0,0,1,Alta Conversão
Graduation,Married,45837.0,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,51,2,373,18,0.42105263157894735,0.2631578947368421,4413.766375545852,0,0,0,Baixa Conversão
Master,Single,35791.0,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,60,3,35,6,0.14285714285714285,0.42857142857142855,4440.0,0,0,0,Baixa Conversão
PhD,Together,162397.0,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,49,2,107,1,0.0,0.5,4531.0,0,0,0,Baixa Conversão
Graduation,Widow,54162.0,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,47,2,42,5,0.16666666666666666,0.5,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,65,1,326,17,0.16666666666666666,0.5,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,54456.0,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,64,1,404,17,0.3888888888888889,0.3888888888888889,4285.0,0,0,0,Baixa Conversão
Graduation,Single,31632.0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,54,0,95,6,0.42857142857142855,0.2857142857142857,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Widow,72298.0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,76,0,939,14,0.4666666666666667,0.4,3955.0,2,1,2,Média Conversão
2n Cycle,Single,36975.0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,47,1,33,5,0.16666666666666666,0.5,4413.766375545852,0,0,0,Baixa Conversão
2n Cycle,Married,72635.0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,70,0,981,21,0.6363636363636364,0.2727272727272727,4531.0,1,1,2,Média Conversão
Graduation,Married,13624.0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,49,1,36,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,84196.0,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,50,1,1237,20,0.5714285714285714,0.3333333333333333,4531.0,0,0,1,Alta Conversão
Graduation,Together,70971.0,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,65,1,1825,34,0.6285714285714286,0.14285714285714285,4413.766375545852,0,0,1,Alta Conversão
PhD,Divorced,34487.0,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,48,2,103,9,0.3,0.3,4801.0,0,0,0,Baixa Conversão
Graduation,Single,28769.0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,48,1,191,12,0.38461538461538464,0.3076923076923077,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,69084.0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,55,1,1586,25,0.38461538461538464,0.5,4413.766375545852,0,0,1,Alta Conversão
PhD,Together,65488.0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,67,0,963,14,0.4666666666666667,0.4,4413.766375545852,0,0,1,Alta Conversão
2n Cycle,Married,62466.0,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,55,1,889,26,0.3333333333333333,0.4444444444444444,4413.766375545852,0,0,1,Alta Conversão
2n Cycle,Single,32218.0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,65,0,93,7,0.375,0.375,4413.766375545852,1,1,0,Baixa Conversão
Graduation,Single,83917.0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,52,0,1587,21,0.5909090909090909,0.3181818181818182,4413.766375545852,0,0,1,Alta Conversão
Graduation,Divorced,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,63,3,16,4,0.2,0.4,3955.0,0,0,0,Baixa Conversão
Graduation,Single,84574.0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,73,0,1375,32,0.6060606060606061,0.3333333333333333,4500.0,0,0,1,Alta Conversão
Graduation,Married,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,63,1,393,14,0.4,0.4666666666666667,4383.0,0,0,0,Baixa Conversão
Master,Divorced,63120.0,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,75,1,1477,26,0.4444444444444444,0.3333333333333333,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,73691.0,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,54,1,1179,18,0.42105263157894735,0.42105263157894735,4434.0,1,1,2,Média Conversão
Graduation,Together,63381.0,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,65,1,1005,26,0.3333333333333333,0.48148148148148145,4831.0,0,0,1,Alta Conversão
PhD,Together,76140.0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,77,0,1348,21,0.6363636363636364,0.2727272727272727,4413.766375545852,0,0,1,Alta Conversão
PhD,Divorced,62859.0,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,66,1,1307,23,0.5416666666666666,0.25,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,45906.0,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,61,1,486,15,0.5625,0.25,4410.0,1,1,2,Média Conversão
Master,Together,77632.0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,78,0,2252,13,0.42857142857142855,0.42857142857142855,4320.0,2,1,2,Média Conversão
PhD,Married,46463.0,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,54,2,235,17,0.2222222222222222,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,105471.0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,55,0,1724,30,0.5483870967741935,0.41935483870967744,4413.766375545852,2,1,2,Média Conversão
Master,Divorced,55282.0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,55,1,235,11,0.3333333333333333,0.5,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,78710.0,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,48,1,1092,28,0.4482758620689655,0.41379310344827586,4413.766375545852,0,0,1,Alta Conversão
Graduation,Together,66886.0,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,67,1,599,17,0.4444444444444444,0.3888888888888889,4413.766375545852,0,0,1,Alta Conversão
Master,Single,98777.0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,65,0,2008,19,0.5,0.45,4413.766375545852,1,1,2,Média Conversão
Graduation,Together,29103.0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,40,1,48,6,0.14285714285714285,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,67445.0,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,51,1,1174,32,0.45454545454545453,0.36363636363636365,4619.0,0,0,1,Alta Conversão
PhD,Together,50616.0,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,75,1,67,7,0.25,0.5,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Divorced,49431.0,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,70,1,365,15,0.5,0.3125,4894.0,0,0,0,Baixa Conversão
Graduation,Divorced,153924.0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,50,0,6,0,0.0,0.0,4048.0,0,0,0,Baixa Conversão
Graduation,Together,61278.0,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,72,1,165,10,0.36363636363636365,0.36363636363636365,4140.0,0,0,0,Baixa Conversão
2n Cycle,Together,26490.0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,67,0,210,11,0.3333333333333333,0.4166666666666667,4413.766375545852,0,0,0,Baixa Conversão
PhD,Together,73059.0,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,78,1,1095,26,0.4444444444444444,0.48148148148148145,4413.766375545852,0,0,1,Alta Conversão
PhD,Single,46734.0,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,59,3,223,12,0.38461538461538464,0.23076923076923078,4413.766375545852,1,1,0,Baixa Conversão
Graduation,Together,56253.0,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,62,1,597,22,0.391304347826087,0.391304347826087,4768.0,0,0,1,Alta Conversão
Graduation,Married,19986.0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,40,1,22,4,0.0,0.6,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Widow,58330.0,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,50,1,1064,24,0.4,0.52,4413.766375545852,0,0,1,Alta Conversão
Basic,Married,25965.0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,45,0,74,6,0.2857142857142857,0.42857142857142855,4771.0,0,0,0,Baixa Conversão
Master,Together,14661.0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,69,0,26,5,0.16666666666666666,0.5,4595.0,0,0,0,Baixa Conversão
Graduation,Married,18690.0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,66,0,60,5,0.3333333333333333,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
PhD,Together,45068.0,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,51,1,20,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
Basic,Single,21063.0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,38,1,59,7,0.25,0.375,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,29187.0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,57,1,34,5,0.16666666666666666,0.5,4348.0,0,0,0,Baixa Conversão
2n Cycle,Married,54690.0,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,54,2,198,12,0.3076923076923077,0.38461538461538464,4404.0,0,0,0,Baixa Conversão
PhD,Married,59304.0,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,61,1,1048,28,0.5172413793103449,0.3448275862068966,4413.766375545852,0,0,1,Alta Conversão
Master,Single,59247.0,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,63,2,574,21,0.3181818181818182,0.4090909090909091,4373.0,0,0,1,Alta Conversão
Graduation,Widow,66731.0,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,55,1,1029,17,0.3888888888888889,0.3333333333333333,4618.0,0,0,1,Alta Conversão
Graduation,Married,77353.0,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,45,1,670,20,0.47619047619047616,0.38095238095238093,4413.766375545852,0,0,1,Alta Conversão
PhD,Single,52614.0,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,50,1,990,16,0.35294117647058826,0.47058823529411764,4950.0,0,0,1,Alta Conversão
Graduation,Married,26751.0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,51,2,11,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
PhD,Married,81300.0,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,62,1,1241,21,0.5909090909090909,0.22727272727272727,4413.766375545852,1,1,2,Média Conversão
Graduation,Single,70337.0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,46,0,576,17,0.2222222222222222,0.6666666666666666,4199.0,0,0,1,Alta Conversão
2n Cycle,Married,36145.0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,40,1,172,12,0.38461538461538464,0.23076923076923078,4413.766375545852,1,1,0,Baixa Conversão
PhD,Single,65295.0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,45,0,664,20,0.2857142857142857,0.6190476190476191,4413.766375545852,0,0,1,Alta Conversão
Graduation,Divorced,68118.0,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,62,1,928,23,0.7083333333333334,0.16666666666666666,4413.766375545852,0,0,1,Alta Conversão
Graduation,Divorced,68743.0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,58,0,2074,30,0.5161290322580645,0.41935483870967744,4413.766375545852,0,0,1,Alta Conversão
2n Cycle,Together,41039.0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,43,0,467,15,0.5625,0.3125,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,38946.0,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,70,1,257,12,0.3076923076923077,0.46153846153846156,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,65777.0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,58,0,1146,17,0.5555555555555556,0.3333333333333333,4413.766375545852,0,0,1,Alta Conversão
PhD,Divorced,66476.0,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,49,1,689,20,0.3333333333333333,0.5238095238095238,4412.0,0,0,1,Alta Conversão
PhD,Single,86857.0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,53,0,2114,22,0.4782608695652174,0.43478260869565216,4618.0,0,0,1,Alta Conversão
PhD,Married,160803.0,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,43,0,1717,44,0.6222222222222222,0.022222222222222223,4863.0,0,0,1,Alta Conversão
PhD,Together,77845.0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,36,0,1346,21,0.36363636363636365,0.5454545454545454,4413.766375545852,2,1,2,Média Conversão
PhD,Together,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,56,0,1044,15,0.625,0.25,4413.766375545852,0,0,1,Alta Conversão
PhD,Divorced,50611.0,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,65,1,493,22,0.391304347826087,0.30434782608695654,4861.0,1,1,2,Média Conversão
Graduation,Single,61209.0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,55,0,957,13,0.5714285714285714,0.2857142857142857,4413.766375545852,0,0,1,Alta Conversão
Master,Together,42315.0,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,67,1,270,12,0.38461538461538464,0.3076923076923077,4255.0,0,0,0,Baixa Conversão
Basic,Together,13084.0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,73,0,29,5,0.16666666666666666,0.5,4554.0,0,0,0,Baixa Conversão
Master,Widow,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,76,2,121,9,0.4,0.2,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,61923.0,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,64,2,126,8,0.3333333333333333,0.4444444444444444,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Single,34824.0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,30,0,23,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
PhD,Single,26518.0,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,76,2,57,8,0.2222222222222222,0.3333333333333333,4380.0,0,0,0,Baixa Conversão
Graduation,Single,45938.0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,64,0,636,20,0.5714285714285714,0.2857142857142857,4526.0,0,0,1,Alta Conversão
Graduation,Together,78468.0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,65,0,1004,28,0.5862068965517241,0.3448275862068966,3984.0,1,1,2,Média Conversão
Graduation,Divorced,78901.0,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,52,1,734,20,0.5714285714285714,0.23809523809523808,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,71427.0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,47,2,614,20,0.47619047619047616,0.38095238095238093,3894.0,0,0,1,Alta Conversão
Graduation,Divorced,71022.0,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,47,1,1453,21,0.3181818181818182,0.5,3925.0,1,1,2,Média Conversão
Master,Single,90247.0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,37,0,1621,15,0.4375,0.4375,4413.766375545852,3,1,2,Média Conversão
Master,Divorced,41335.0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,57,1,187,12,0.38461538461538464,0.3076923076923077,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,71952.0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,39,1,1443,22,0.5217391304347826,0.34782608695652173,4322.0,2,1,2,Média Conversão
PhD,Divorced,35682.0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,55,1,57,6,0.2857142857142857,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Divorced,43185.0,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,74,1,637,20,0.5714285714285714,0.2857142857142857,4319.0,0,0,1,Alta Conversão
PhD,Together,66375.0,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,77,1,948,14,0.4,0.3333333333333333,4413.766375545852,1,1,2,Média Conversão
Master,Married,35178.0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,54,1,59,5,0.3333333333333333,0.3333333333333333,4322.0,1,1,0,Baixa Conversão
Graduation,Married,25252.0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,39,1,18,4,0.2,0.4,4255.0,0,0,0,Baixa Conversão
Master,Single,55250.0,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,60,1,903,26,0.4444444444444444,0.37037037037037035,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,33249.0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,50,1,112,8,0.3333333333333333,0.3333333333333333,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,58398.0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,72,0,596,20,0.42857142857142855,0.38095238095238093,4413.766375545852,0,0,1,Alta Conversão
Graduation,Together,50272.0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,43,1,233,13,0.35714285714285715,0.35714285714285715,4407.0,0,0,0,Baixa Conversão
PhD,Married,76618.0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,50,0,1511,11,0.4166666666666667,0.4166666666666667,4768.0,0,0,1,Alta Conversão
2n Cycle,Divorced,87305.0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,65,0,1152,17,0.4444444444444444,0.4444444444444444,4413.766375545852,1,1,2,Média Conversão
Graduation,Together,25851.0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,47,1,48,7,0.25,0.375,4290.0,0,0,0,Baixa Conversão
Graduation,Divorced,58710.0,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,55,1,1185,31,0.5,0.28125,4413.766375545852,0,0,1,Alta Conversão
Graduation,Single,45160.0,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,67,2,21,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
Master,Married,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,60,1,965,16,0.5294117647058824,0.29411764705882354,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,59111.0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,71,0,869,21,0.5454545454545454,0.36363636363636365,4560.0,0,0,1,Alta Conversão
PhD,Married,18988.0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,41,1,16,6,0.14285714285714285,0.42857142857142855,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Married,72190.0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,60,0,1947,16,0.6470588235294118,0.23529411764705882,4413.766375545852,0,0,1,Alta Conversão
Graduation,Married,7500.0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,49,1,71,12,0.38461538461538464,0.15384615384615385,4954.0,1,1,0,Baixa Conversão
Graduation,Married,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,59,1,65,6,0.2857142857142857,0.42857142857142855,4013.0,0,0,0,Baixa Conversão
Graduation,Married,80395.0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,70,0,1380,24,0.44,0.48,4413.766375545852,1,1,2,Média Conversão
Master,Divorced,75012.0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,49,0,1027,23,0.4583333333333333,0.4583333333333333,4413.766375545852,0,0,1,Alta Conversão
Master,Married,56962.0,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,60,3,411,21,0.4090909090909091,0.22727272727272727,4282.0,0,0,1,Alta Conversão
Graduation,Together,89891.0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,34,0,836,26,0.6296296296296297,0.2962962962962963,4413.766375545852,1,1,2,Média Conversão
PhD,Divorced,35946.0,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,76,2,11,4,0.0,0.6,4413.766375545852,0,0,0,Baixa Conversão
PhD,Together,53593.0,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,72,2,480,23,0.375,0.25,4772.0,0,0,1,Alta Conversão
Graduation,Married,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,2,606,23,0.25,0.4166666666666667,4256.0,0,0,1,Alta Conversão
PhD,Divorced,45072.0,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,77,3,284,16,0.4117647058823529,0.23529411764705882,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Divorced,89694.0,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,52,2,1472,14,0.4666666666666667,0.26666666666666666,4343.0,3,1,2,Média Conversão
Graduation,Married,72025.0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,76,0,1677,26,0.4444444444444444,0.48148148148148145,4413.766375545852,3,1,2,Média Conversão
Graduation,Married,67432.0,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,52,1,1335,19,0.65,0.2,4413.766375545852,0,0,1,Alta Conversão
Master,Together,70545.0,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,73,1,334,13,0.35714285714285715,0.5,4166.0,0,0,0,Baixa Conversão
Basic,Married,17487.0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,36,1,18,4,0.2,0.4,4413.766375545852,0,0,0,Baixa Conversão
Graduation,Together,62882.0,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,56,1,1338,20,0.5714285714285714,0.2857142857142857,4710.0,0,0,1,Alta Conversão
PhD,Single,64108.0,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,72,1,1099,30,0.4838709677419355,0.3548387096774194,4413.766375545852,0,0,1,Alta Conversão
Master,Together,34941.0,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,69,2,97,8,0.3333333333333333,0.3333333333333333,4442.0,0,0,0,Baixa Conversão
PhD,Single,48767.0,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,0,75,3,63,9,0.3,0.3,4230.0,0,0,0,Baixa Conversão
